Date,Duplexing Type,Site Id,Sector,Sector id,Carrier Number DL (earfcn),DL Traffic (GB),UL Traffic (GB),Total Traffic (GB),Average User Throughput in DownLink (Mbps),Average DL PDCP Throughput (Mbit/s),Average UL PDCP Throughput (Mbit/s),Intra Frequency Handover Success Rate (%),Inter Frequency Handover Success Rate (%),Cell Availability,Scell Traffic Volume,Number of CSFB to GSM,Number of CSFB to WCDMA,DC_E_ERBS_EUTRANCELLFDD.pmPagDiscarded,Maximum Number of Users in a Cell,PcellVolume_DL_MAC,ScellVolume_DL_MAC,DL Payload(GB),CA capable DL UE Payload(GB),PS E-UTRAN RRC Setup successful Ratio (%),PS E-UTRAN RAB Setup Success Rate (%),DC_E_ERBS_EUTRANCELLFDD.pmCellDowntimeAuto,DC_E_ERBS_EUTRANCELLFDD.pmCellDowntimeMan,IRAT/Session Continuity to 2G,PS Drop Call Rate_NUM,PS Drop Call Rate_DENOM,DL User Throughput(Mbps)_DENOM,DL User Throughput(Mbps)_NUM,Average User Throughput in UpLink (Mbps)_NUM,Average User Throughput in UpLink (Mbps)_DENOM,CSSR RRC_DENOM,CSSR RRC_NUM,CSSR eRAB_NUM,CSSR eRAB DENOM,ERAB Drop Rate_DENOM,ERAB Drop Rate_NUM
2024-05-01,FDD,Site2,Site2_C,C,1399.0,82.35594022,10.47216618,92.8281064,7.096029528,13.52463168,1.422792007,98.29239427,98.89476539,100.0,4.68281275,2179.0,0.0,0.0,81.0,86.44764725,4.68281275,82.31792128,8.327829361,99.93689594,99.93458105,0.0,0.0,411.0,205.0,158863.0,81189944.0,576126240.0,31140177.0,87495106.0,180654.0,180540.0,168037.0,168147.0,158589.0,205.0
2024-05-01,FDD,Site3,Site3_A,A,426.0,60.65585649,8.419214606,69.0750711,9.02580936,12.42144305,1.927381773,98.12651532,98.84169884,100.0,3.1667075,605.0,0.0,0.0,36.0,59.87459763,3.1667075,60.64844561,12.28454912,99.92573032,99.88731633,0.0,0.0,52.0,38.0,26634.0,47618538.0,429795846.0,16009757.0,19596366.0,24236.0,24218.0,22161.0,22186.0,26591.0,38.0
2024-05-01,FDD,Site3,Site3_B,B,426.0,65.07258582,8.564118028,73.63670385,4.845327989,10.68923002,1.201451739,97.38451221,98.65236524,100.0,5.84904725,1170.0,0.0,0.0,57.0,67.76244188,5.84904725,65.04294312,5.072931647,99.83846964,99.88369986,0.0,0.0,184.0,196.0,65217.0,97520611.0,472519346.0,32833909.0,89506696.0,110196.0,110018.0,66131.0,66208.0,64930.0,196.0
2024-05-01,FDD,Site3,Site3_C,C,426.0,59.88233805,7.820508599,67.70284665,5.718807482,11.28042652,1.407268577,97.98640826,97.80938834,100.0,2.10680875,444.0,0.0,0.0,47.0,59.8311615,2.10680875,59.86897445,9.969953895,99.95966115,99.88351776,0.0,0.0,90.0,98.0,32095.0,76477675.0,437361100.0,23131425.0,49894248.0,42143.0,42126.0,27440.0,27472.0,32006.0,98.0
2024-05-01,FDD,Site3,Site3_A,A,1399.0,93.20188367,11.87111616,105.0729998,9.849546046,16.17955682,2.087362843,98.35838949,98.42368886,100.0,4.66840475,1673.0,0.0,0.0,70.0,96.38247963,4.66840475,93.1737541,12.86822844,99.9451677,99.9074956,0.0,0.0,248.0,176.0,105617.0,65230569.0,642491493.0,26346641.0,32304118.0,120367.0,120301.0,109083.0,109184.0,105353.0,176.0
2024-05-01,FDD,Site3,Site3_B,B,1399.0,153.6501993,17.52539468,171.175594,13.14138567,24.6688936,3.108033787,95.90804598,99.01262916,100.0,1.90978,1586.0,0.0,0.0,95.0,158.0976163,1.90978,153.6159765,28.30882227,99.80410668,99.93486169,0.0,0.0,140.0,141.0,115819.0,77720564.0,1021355906.0,25280433.0,19723741.0,127110.0,126861.0,118133.0,118210.0,115603.0,141.0
2024-05-01,FDD,Site3,Site3_C,C,1399.0,76.94458663,8.98663044,85.93121707,6.23693247,13.44541315,1.351155625,97.73125477,98.582445,100.0,4.075453875,1064.0,0.0,0.0,72.0,79.97899238,4.075453875,76.90899456,8.947474957,99.97122948,99.92700409,0.0,0.0,268.0,256.0,107349.0,89195111.0,556303884.0,28487044.0,76194745.0,142507.0,142466.0,113622.0,113705.0,107027.0,256.0
2024-05-01,FDD,Site4,Site4_A,A,1399.0,36.72237265,4.461939454,41.18431211,31.21520315,15.20380711,1.990569395,99.19266055,99.86091794,100.0,0.0,701.0,0.0,0.0,27.0,39.35403963,0.0,36.71893716,1.200089216,99.96527175,99.93739435,0.0,0.0,62.0,52.0,20526.0,7368038.0,229994803.0,6631575.0,4091147.0,17277.0,17271.0,15963.0,15973.0,20506.0,52.0
2024-05-01,FDD,Site4,Site4_B,B,1399.0,127.2697881,11.55743992,138.8272281,12.63593711,20.96242409,1.890770409,98.97075864,99.4456684,100.0,0.0,4383.0,0.0,0.0,118.0,135.6400369,0.0,127.2286011,4.313607216,99.98205822,99.94102406,0.0,0.0,196.0,255.0,141716.0,68717366.0,868308315.0,29951372.0,39494598.0,200649.0,200613.0,150820.0,150909.0,141329.0,255.0
2024-05-01,FDD,Site4,Site4_C,C,1399.0,236.4193889,26.48034155,262.8997304,3.843437827,29.97316692,3.352189277,97.65281359,99.58726415,100.0,0.0,6175.0,0.0,0.0,181.0,251.701057,0.0,236.3850532,13.18759823,99.96535884,99.88049591,0.0,0.0,381.0,360.0,182058.0,441102947.0,1695351752.0,74657981.0,77731086.0,210732.0,210659.0,176352.0,176563.0,181665.0,360.0
