acc_mean_x_right,acc_mean_y_right,acc_mean_z_right,acc_mean_xyz_right,acc_mean_xy_right,acc_mean_yz_right,acc_mean_zx_right,acc_mean_pitch_right,acc_mean_roll_right,acc_std_x_right,acc_std_y_right,acc_std_z_right,acc_std_xyz_right,acc_std_xy_right,acc_std_yz_right,acc_std_zx_right,acc_std_pitch_right,acc_std_roll_right,acc_auc_x_right,acc_auc_y_right,acc_auc_z_right,acc_auc_xyz_right,acc_auc_xy_right,acc_auc_yz_right,acc_auc_zx_right,acc_auc_pitch_right,acc_auc_roll_right,acc_max_x_right,acc_max_y_right,acc_max_z_right,acc_max_xyz_right,acc_max_xy_right,acc_max_yz_right,acc_max_zx_right,acc_max_pitch_right,acc_max_roll_right,acc_peak_x_right,acc_peak_y_right,acc_peak_z_right,acc_peak_xyz_right,acc_peak_xy_right,acc_peak_yz_right,acc_peak_zx_right,gyro_mean_x_right,gyro_mean_y_right,gyro_mean_z_right,gyro_mean_xyz_right,gyro_mean_xy_right,gyro_mean_yz_right,gyro_mean_zx_right,gyro_std_x_right,gyro_std_y_right,gyro_std_z_right,gyro_std_xyz_right,gyro_std_xy_right,gyro_std_yz_right,gyro_std_zx_right,gyro_auc_x_right,gyro_auc_y_right,gyro_auc_z_right,gyro_auc_xyz_right,gyro_auc_xy_right,gyro_auc_yz_right,gyro_auc_zx_right,gyro_max_x_right,gyro_max_y_right,gyro_max_z_right,gyro_max_xyz_right,gyro_max_xy_right,gyro_max_yz_right,gyro_max_zx_right,gyro_peak_x_right,gyro_peak_y_right,gyro_peak_z_right,gyro_peak_xyz_right,gyro_peak_xy_right,gyro_peak_yz_right,gyro_peak_zx_right,acc_mean_x_left,acc_mean_y_left,acc_mean_z_left,acc_mean_xyz_left,acc_mean_xy_left,acc_mean_yz_left,acc_mean_zx_left,acc_mean_pitch_left,acc_mean_roll_left,acc_std_x_left,acc_std_y_left,acc_std_z_left,acc_std_xyz_left,acc_std_xy_left,acc_std_yz_left,acc_std_zx_left,acc_std_pitch_left,acc_std_roll_left,acc_auc_x_left,acc_auc_y_left,acc_auc_z_left,acc_auc_xyz_left,acc_auc_xy_left,acc_auc_yz_left,acc_auc_zx_left,acc_auc_pitch_left,acc_auc_roll_left,acc_max_x_left,acc_max_y_left,acc_max_z_left,acc_max_xyz_left,acc_max_xy_left,acc_max_yz_left,acc_max_zx_left,acc_max_pitch_left,acc_max_roll_left,acc_peak_x_left,acc_peak_y_left,acc_peak_z_left,acc_peak_xyz_left,acc_peak_xy_left,acc_peak_yz_left,acc_peak_zx_left,gyro_mean_x_left,gyro_mean_y_left,gyro_mean_z_left,gyro_mean_xyz_left,gyro_mean_xy_left,gyro_mean_yz_left,gyro_mean_zx_left,gyro_std_x_left,gyro_std_y_left,gyro_std_z_left,gyro_std_xyz_left,gyro_std_xy_left,gyro_std_yz_left,gyro_std_zx_left,gyro_auc_x_left,gyro_auc_y_left,gyro_auc_z_left,gyro_auc_xyz_left,gyro_auc_xy_left,gyro_auc_yz_left,gyro_auc_zx_left,gyro_max_x_left,gyro_max_y_left,gyro_max_z_left,gyro_max_xyz_left,gyro_max_xy_left,gyro_max_yz_left,gyro_max_zx_left,gyro_peak_x_left,gyro_peak_y_left,gyro_peak_z_left,gyro_peak_xyz_left,gyro_peak_xy_left,gyro_peak_yz_left,gyro_peak_zx_left,class
-0.1733,0.14864,0.98128,1.1065,0.44735,1.0611,1.0332,9.9751,52.281,0.25398,0.37269,0.25325,0.22921,0.22675,0.24149,0.228,42.354,41.576,-6.3198,5.301,36.346,40.928,16.5,39.29,38.218,358.68,1923.3,0.34839,0.78271,1.8518,1.9071,0.99118,1.883,1.8762,76.958,88.628,8,4,8,7,6,7,8,6.4845,5.8279,5.764,58.352,47.129,49.79,40.657,37.497,57.904,40.139,54.245,50.279,49.555,37.099,184.12,134.81,157.36,1490.9,1200.2,1276.1,1038.4,90.564,172.47,105.7,182.38,174.61,180.33,118.32,6,5,6,6,7,5,7,0.27453,-0.48576,0.76073,1,0.61895,0.93003,0.84506,45.507,-40.459,0.2768,0.26913,0.14397,0.23354,0.27177,0.20122,0.18556,24.655,37.421,5.5115,-9.9021,15.969,20.779,12.671,19.36,17.658,949.68,-851.19,0.65723,0.085449,0.9729,1.4348,1.0546,1.3277,1.1574,87.448,33.245,4,4,5,5,5,5,5,-8.9573,16.496,5.7642,74.397,68.576,66.398,41.232,33.11,70.491,32.768,40.273,37.474,40.573,21.682,-149.19,321.11,123.08,1030.9,952.91,912.89,577.04,47.348,93.171,68.887,142.6,133.86,137.85,79.286,4,4,3,2,2,2,4,2
-0.40618,0.24715,0.79471,1.0178,0.52388,0.86595,0.96693,-30.421,48.213,0.26456,0.20578,0.29909,0.13492,0.25007,0.26998,0.13024,40.522,23.748,-13.633,8.3452,27.237,34.452,17.612,29.536,32.725,-1061.7,1642.3,0.066406,0.73511,1.2058,1.3517,1.3411,1.278,1.2446,60.568,80.344,7,3,7,8,6,7,8,-2.011,65.164,0.78902,84.767,75.179,82.797,30.564,16.746,103.29,31.609,94.295,97.413,94.608,17.644,-36.707,1579.3,10.114,2063.3,1825.3,2016.8,747.43,18.582,323.22,58.079,325.7,323.24,325.68,87.475,6,5,5,5,6,5,5,-0.075996,-0.62818,0.73479,1.0523,0.71428,0.98738,0.82449,17.794,-59.21,0.36061,0.21134,0.14895,0.15111,0.24562,0.15743,0.11203,28.279,18.955,-2.287,-14.638,17.597,24.932,16.719,23.366,19.746,400.47,-1415.8,0.72632,-0.10889,1.0728,1.5405,1.2934,1.4975,1.078,58.469,-23.085,7,7,7,6,5,7,8,23.403,68.995,10.423,101.11,98.099,93.805,39.305,37.291,103.66,37.318,91.017,86.185,88.6,42.59,238.58,753.83,145.3,1119.4,1086,1048,414.75,100.67,256.16,92.21,272.33,256.29,269.08,103.56,3,1,2,2,2,2,1,2
-0.4967,0.37167,0.70283,1.0402,0.68213,0.80958,0.9651,-23.068,52.897,0.35638,0.099505,0.28136,0.089948,0.23363,0.25535,0.10484,47.038,22.215,-21.128,16.066,30.436,44.81,29.233,35.03,41.549,-949.99,2293.1,0.20581,0.67188,1.1987,1.3163,1.1501,1.2347,1.2931,59.845,87.655,10,7,9,12,9,12,10,-7.2434,-43.888,1.469,67.613,64.392,65.342,16.61,11.922,87.993,13.596,73.415,75.116,74.2,9.9039,-190.59,-1344.7,56.189,1981.6,1888.6,1922.8,467.86,23.308,54.878,36.966,244.56,244.56,244.51,39.227,5,6,7,3,6,5,6,0.025481,-0.58663,0.62753,1.0279,0.79751,0.86834,0.81054,16.62,-47.72,0.54106,0.18646,0.15183,0.12222,0.14176,0.20208,0.1967,48.127,26.406,0.89685,-10.655,11.323,18.361,14.159,15.697,14.414,336.26,-876.83,0.60962,-0.16528,0.93188,1.2499,1.1342,1.1523,1.2368,56.943,6.5295,3,5,5,3,3,4,4,-9.5147,-10.826,-9.9911,96.625,93.488,78.053,50.826,56.881,88.522,24.414,42.638,41.995,44.976,34.943,-129.48,-153.02,-108.38,1068.8,1033.9,870.61,544,81.082,85.655,22.927,158.68,158.21,158.42,114.7,2,3,2,1,1,2,2,2
-0.2878,0.15882,0.91688,1.0974,0.50834,1.0276,0.99884,3.2451,31.009,0.29577,0.39625,0.47578,0.45532,0.29907,0.43291,0.48718,45.262,54.306,-9.1556,4.8179,29.583,35.266,16.116,33.102,32.143,128.67,968.43,0.27954,1.0107,1.8325,2.025,1.2217,1.8495,2.0095,85.985,83.695,6,4,4,3,5,4,4,-8.759,-39.659,-66.432,142.83,107.5,111.99,122.34,101.87,58.968,74.006,65.664,58.976,45.68,69.843,-197.74,-803.67,-1488.8,3046.1,2287.3,2374.2,2625.7,127.96,122.03,84.024,273.32,229.9,189.57,266.82,3,3,1,5,5,5,5,-0.96016,-0.37645,0.25071,1.1816,1.1446,0.47783,1.034,-65.592,-13.755,0.3908,0.48454,0.26153,0.41459,0.35783,0.52742,0.36373,34.923,26.689,-18.591,-6.7229,4.5543,22.296,21.637,8.5894,19.824,-1278.7,-230.55,0.09668,-0.024902,1.2136,2.8031,2.5267,2.1124,2.2063,22.157,28.124,6,3,5,5,5,3,5,-18.485,-69.916,36.476,156,147.38,142.75,64.989,54.091,146.19,23.98,74.017,79.416,80.612,26.787,-166.77,-931.3,413.19,1758.9,1658.5,1616.6,719.59,90.564,128.57,75,288.05,286.38,283.65,120.46,3,2,2,3,4,3,2,2
-0.56189,0.36946,0.68668,1.3085,0.91759,1.0218,1.1201,-24.118,47.579,0.5681,0.5537,0.61723,0.44228,0.476,0.4869,0.46979,57.448,29.744,-17.224,10.575,20.613,39.252,27.369,30.46,33.94,-729.08,1410.9,0.54102,1.9968,1.946,2.1386,2.0173,2.0355,2.0798,81.451,84.517,6,5,5,5,7,5,5,-2.0979,14.909,37.59,168.67,137.97,147.33,111.01,82.44,128.88,106.22,80.877,60.484,82.59,81.413,-138.66,326.3,711.56,3390.8,2771.9,2991.1,2202.2,197.38,173.6,267.18,308.29,234.89,308.18,267.31,4,3,4,5,4,4,5,-0.50254,-0.54968,0.56213,1.1807,0.9767,0.89081,0.92932,-30.135,-26.698,0.59641,0.42511,0.33177,0.31665,0.34614,0.32828,0.39732,46.916,42.451,-11.783,-12.713,13.332,27.496,22.882,20.606,21.653,-714.25,-578.1,0.74048,0.037842,1.0417,1.7701,1.6429,1.4212,1.7453,41.104,41.889,4,5,8,5,5,5,6,-11.077,-14.274,-21.836,86.276,76.505,77.855,45.833,37.794,86.002,24.414,47.64,53.6,46.878,20.193,-144.53,-163.05,-265.26,1129.5,1017.5,1018,585.73,84.71,151.52,11.387,216.91,213.47,199.69,93.039,4,2,2,3,3,3,2,2
-0.45596,0.219,0.88401,1.0646,0.56543,0.9313,1.0232,-39.334,52.609,0.23998,0.17626,0.22834,0.20213,0.1492,0.20931,0.22343,43.784,16.677,-11.106,5.5127,22.091,26.488,13.917,23.297,25.43,-954.95,1320,0.20679,0.53345,1.3044,1.3745,0.97968,1.3635,1.3714,64.952,80.027,6,7,5,5,5,6,5,1.4952,-18.556,-4.8104,54.616,49.675,47.682,30.308,32.301,60.399,23.213,49.982,49.738,46.842,25.463,16.974,-431.72,-106.26,1234.8,1123,1085.8,677.17,90.595,84.848,49.604,200.32,199.19,189.54,93.541,4,5,4,7,7,7,4,0.32041,-0.68888,0.50888,1.0636,0.88942,0.94184,0.70193,25.784,-36.897,0.4476,0.4236,0.32934,0.42468,0.39578,0.35732,0.41475,35.036,44.923,7.2124,-15.728,11.692,24.423,20.375,21.638,16.128,580.11,-832.13,1.1428,0.2854,1.2813,2.336,2.2579,2.0373,1.7165,74.212,64.845,7,6,6,6,5,5,8,21.831,30.235,-4.4148,75.153,73.813,61.864,39.911,50.026,64.359,13.753,48.444,48.461,35.602,39.12,353.57,508.69,-84.154,1280.5,1257,1076.3,656.04,116.62,123.77,29.97,172.67,170.05,127.34,120.41,3,3,3,4,4,4,5,2
-0.19591,0.10723,1.0419,1.088,0.29422,1.0592,1.071,-14.468,50.533,0.15914,0.15401,0.14347,0.14024,0.10552,0.13584,0.1479,41.68,29.164,-5.9984,3.4451,31.186,32.606,8.9762,31.718,32.088,-479.9,1586.6,0.29907,0.3208,1.3572,1.3986,0.49806,1.358,1.3938,66.659,78.667,6,7,9,8,8,8,7,0.10879,7.0385,-15.95,48.861,33.776,42.551,37.204,24.238,32.731,32.816,23.517,22.706,23.871,21.93,-11.418,126.91,-362.68,1037.9,711.48,902.22,794.39,50.107,76.067,31.692,96.025,91.087,81.915,77.439,3,5,3,6,7,6,3,0.31829,-0.50512,0.73735,1.0485,0.67332,0.93522,0.8822,38.273,-35.425,0.35702,0.19696,0.28203,0.19591,0.25556,0.19842,0.26109,33.764,32.054,7.9884,-12.292,17.609,25.233,16.365,22.43,21.199,979.24,-869.72,0.94214,-0.026855,1.3074,1.3738,1.074,1.3211,1.308,68.671,38.353,6,6,6,7,8,6,6,-1.5787,6.0394,12.742,179.71,171.99,155.55,94.354,97.105,181.45,48.526,102.35,104.13,98.396,49.636,-126.71,172.89,228.3,2728.3,2611.9,2396.3,1397.3,108.89,321.91,78.445,370.66,362.26,331.33,183.75,2,3,3,3,3,3,1,2
-0.17128,0.090778,0.92827,1.0101,0.36381,0.97498,0.96523,-3.3522,30.279,0.19176,0.30298,0.21706,0.22592,0.17605,0.23638,0.20505,52.332,45.41,-5.8433,3.3208,31.537,34.378,12.52,33.161,32.817,-108.22,1063.3,0.22705,0.89868,1.376,1.6602,0.92886,1.6435,1.3959,65.458,80.797,5,6,9,8,7,8,8,-7.398,0.068597,18.062,135.53,67.095,120.36,125.02,54.717,53.683,119.39,37.713,35.368,49.065,37.266,-198.46,30.892,482.74,3440.9,1712.1,3047.5,3175.8,123.35,80.274,201.13,201.16,138.8,201.15,201.14,3,4,2,4,6,5,3,-0.2943,-0.48064,0.64733,0.97928,0.6979,0.83771,0.82335,-16.086,-35.984,0.44345,0.2695,0.12545,0.23029,0.3041,0.18552,0.18066,44.273,34.189,-6.9469,-11.274,14.797,22.677,16.4,19.297,19.004,-365.26,-828.74,0.51929,-0.073242,0.85938,1.6571,1.4997,1.164,1.4065,52.36,18.628,4,3,6,6,4,5,5,34.135,60.939,-21.622,144.39,128.92,109.16,103.68,91.335,93.014,58.905,60.583,65.37,61.179,44.003,428.45,824.03,-268.34,1793.3,1610.2,1342.9,1291.5,164.21,200.23,48.948,236.21,229.5,210.64,179.37,2,4,3,2,2,3,2,2
-0.72308,0.28554,0.57718,1.0992,0.87746,0.67591,1.0424,-49.754,32.827,0.47193,0.20797,0.22546,0.19848,0.31027,0.22549,0.19288,48.282,27.075,-29.272,11.78,22.984,44.193,35.566,27.028,41.868,-2015.9,1383.1,0.51685,0.6438,1.312,1.6144,1.5277,1.4433,1.5286,68.818,89.08,7,9,9,7,8,7,8,0.49652,47.11,-12.744,105.59,97.149,85.632,61.686,59.001,102.01,33.586,76.969,80.009,79.997,28.84,58.887,1363.4,-335.29,2843.6,2619.7,2334,1632.6,94.787,266.77,42.21,283.8,283.11,267.5,118.5,5,6,4,4,5,3,4,-0.29694,-0.65475,0.57163,1.0373,0.83631,0.91057,0.75385,-9.9453,-44.917,0.39663,0.29439,0.17675,0.17997,0.23053,0.20221,0.16799,38.358,27.581,-6.7108,-14.43,12.37,22.764,18.475,19.94,16.446,-248.94,-990.43,0.55493,-0.13525,0.84863,1.2802,1.1736,1.2081,1.1424,53.739,14.794,5,5,6,5,6,5,5,-36.979,6.6824,21.846,115.65,107.6,89.948,79.152,74.223,94.798,41.434,63.953,61.366,52.097,50.595,-642.65,202.26,398.76,2040.7,1903,1589.4,1384.2,55.305,164.09,100.84,248.49,236.14,189.3,178.6,2,3,4,3,3,3,1,2
-0.52839,0.40204,0.68042,1.4514,1.0816,1.0747,1.2972,-28.711,45.162,0.85637,0.53685,0.79678,0.65082,0.52369,0.616,0.63572,58.475,25.429,-21.104,16.493,27.306,58.671,43.771,43.456,52.359,-1102.4,1832.1,2.7004,1.2844,3.2915,4.5118,3.0858,3.6144,4.2575,88.472,84.445,7,9,5,6,8,6,7,0.239,-35.458,10.364,202.08,168.62,152.26,162.04,141.2,110.39,117.2,70.17,62.776,57.406,80.951,206.81,-920.49,208.18,5429.9,4508.5,4153.8,4320.8,248.98,226.39,172.23,294.76,277.94,262.33,282.11,3,6,3,7,7,7,4,-0.8161,-0.3875,0.18913,1.2666,1.0265,0.84969,1.1203,-31.908,-22.078,0.59893,0.40676,0.66051,0.42034,0.52617,0.20818,0.4676,35.541,32.056,-19.42,-9.374,4.7253,30.211,24.423,20.235,26.748,-756.44,-551.58,-0.093506,0.57788,1.0586,2.1905,2.1871,1.2003,2.1434,30.239,46.548,6,4,4,6,5,6,7,-21.365,-35.956,-11.81,113.73,103.76,86.251,79.656,85.351,90.169,52.065,79.93,76.383,66.774,62.346,-282.42,-509.44,-220.78,1759.4,1593.3,1312.4,1266,158.98,63.354,54.177,294.8,289.78,257.58,215.77,4,5,3,4,4,5,3,2
