acc_mean_x_right,acc_mean_y_right,acc_mean_z_right,acc_mean_xyz_right,acc_mean_xy_right,acc_mean_yz_right,acc_mean_zx_right,acc_mean_pitch_right,acc_mean_roll_right,acc_std_x_right,acc_std_y_right,acc_std_z_right,acc_std_xyz_right,acc_std_xy_right,acc_std_yz_right,acc_std_zx_right,acc_std_pitch_right,acc_std_roll_right,acc_auc_x_right,acc_auc_y_right,acc_auc_z_right,acc_auc_xyz_right,acc_auc_xy_right,acc_auc_yz_right,acc_auc_zx_right,acc_auc_pitch_right,acc_auc_roll_right,acc_max_x_right,acc_max_y_right,acc_max_z_right,acc_max_xyz_right,acc_max_xy_right,acc_max_yz_right,acc_max_zx_right,acc_max_pitch_right,acc_max_roll_right,acc_peak_x_right,acc_peak_y_right,acc_peak_z_right,acc_peak_xyz_right,acc_peak_xy_right,acc_peak_yz_right,acc_peak_zx_right,gyro_mean_x_right,gyro_mean_y_right,gyro_mean_z_right,gyro_mean_xyz_right,gyro_mean_xy_right,gyro_mean_yz_right,gyro_mean_zx_right,gyro_std_x_right,gyro_std_y_right,gyro_std_z_right,gyro_std_xyz_right,gyro_std_xy_right,gyro_std_yz_right,gyro_std_zx_right,gyro_auc_x_right,gyro_auc_y_right,gyro_auc_z_right,gyro_auc_xyz_right,gyro_auc_xy_right,gyro_auc_yz_right,gyro_auc_zx_right,gyro_max_x_right,gyro_max_y_right,gyro_max_z_right,gyro_max_xyz_right,gyro_max_xy_right,gyro_max_yz_right,gyro_max_zx_right,gyro_peak_x_right,gyro_peak_y_right,gyro_peak_z_right,gyro_peak_xyz_right,gyro_peak_xy_right,gyro_peak_yz_right,gyro_peak_zx_right,acc_mean_x_left,acc_mean_y_left,acc_mean_z_left,acc_mean_xyz_left,acc_mean_xy_left,acc_mean_yz_left,acc_mean_zx_left,acc_mean_pitch_left,acc_mean_roll_left,acc_std_x_left,acc_std_y_left,acc_std_z_left,acc_std_xyz_left,acc_std_xy_left,acc_std_yz_left,acc_std_zx_left,acc_std_pitch_left,acc_std_roll_left,acc_auc_x_left,acc_auc_y_left,acc_auc_z_left,acc_auc_xyz_left,acc_auc_xy_left,acc_auc_yz_left,acc_auc_zx_left,acc_auc_pitch_left,acc_auc_roll_left,acc_max_x_left,acc_max_y_left,acc_max_z_left,acc_max_xyz_left,acc_max_xy_left,acc_max_yz_left,acc_max_zx_left,acc_max_pitch_left,acc_max_roll_left,acc_peak_x_left,acc_peak_y_left,acc_peak_z_left,acc_peak_xyz_left,acc_peak_xy_left,acc_peak_yz_left,acc_peak_zx_left,gyro_mean_x_left,gyro_mean_y_left,gyro_mean_z_left,gyro_mean_xyz_left,gyro_mean_xy_left,gyro_mean_yz_left,gyro_mean_zx_left,gyro_std_x_left,gyro_std_y_left,gyro_std_z_left,gyro_std_xyz_left,gyro_std_xy_left,gyro_std_yz_left,gyro_std_zx_left,gyro_auc_x_left,gyro_auc_y_left,gyro_auc_z_left,gyro_auc_xyz_left,gyro_auc_xy_left,gyro_auc_yz_left,gyro_auc_zx_left,gyro_max_x_left,gyro_max_y_left,gyro_max_z_left,gyro_max_xyz_left,gyro_max_xy_left,gyro_max_yz_left,gyro_max_zx_left,gyro_peak_x_left,gyro_peak_y_left,gyro_peak_z_left,gyro_peak_xyz_left,gyro_peak_xy_left,gyro_peak_yz_left,gyro_peak_zx_left,class
0.18474,-0.66422,0.77794,1.0644,0.71845,1.0315,0.81635,41.279,-69.056,0.17793,0.20842,0.11258,0.18187,0.18016,0.19416,0.12672,11.93,23.717,4.3236,-15.206,17.918,24.473,16.483,23.701,18.819,956.24,-1582.6,0.73096,-0.21851,1.0757,1.6551,1.2579,1.6366,1.1036,75.234,8.5232,4,5,5,4,6,3,5,-1.6997,-33.572,1.6567,35.785,34.285,35.157,11.095,6.9469,21.331,11.355,21.848,21.345,21.742,7.3575,-37.934,-682.43,49.863,728.45,697.23,715.51,226.92,17.652,-0.59451,19.527,69.614,69.613,69.147,28.276,6,4,3,3,4,3,4,-0.77,0.62858,0.32442,1.0562,0.99776,0.71528,0.84546,-47.316,43.126,0.11633,0.083721,0.14534,0.13186,0.11112,0.12586,0.12841,7.1561,6.1886,-8.565,6.85,3.5225,11.63,11.004,7.7925,9.3643,-528.91,468.08,-0.599,0.809,0.593,1.4579,1.3319,1.0031,1.2129,-31.758,54.618,3,2,3,3,3,3,4,-0.79771,-9.0726,3.7322,42.456,41.726,39.046,14.576,14.634,48.835,9.1318,30.043,29.475,31.27,9.5417,-11.005,-326.74,63.689,904.7,890.31,824.92,315.84,19.024,146.71,29.207,152.52,149.69,149.59,41.695,4,5,5,6,6,6,4,2
-0.19931,-0.80199,0.14728,1.5355,1.3961,1.1991,1.0295,-4.0339,-35.711,1.1258,0.89349,0.70965,0.92578,0.86845,0.70807,0.85838,49.873,44.291,-6.1807,-22.58,3.9578,43.552,39.682,33.884,29.244,-156.53,-989.6,4.4854,1.843,2.4224,5.4206,4.8492,3.0438,5.0977,83.131,80.951,8,4,6,8,6,6,9,-70.042,46.471,-18.114,191.8,170.77,155.98,132.62,101.1,179.3,105.53,151.12,138.97,143.16,92.018,-1690.3,1116.5,-444.7,4521.5,4041.6,3663.8,3122.4,116.02,476.98,115.69,602.13,537.69,575.14,420.43,6,3,3,6,5,6,6,-0.63458,0.82225,0.34592,1.2705,1.1018,1.0229,0.93619,-20.081,56.184,0.39858,0.37852,0.56221,0.40572,0.39335,0.4313,0.29775,36.789,19.598,-6.9225,9.0555,3.8035,13.998,12.088,11.345,10.296,-218.81,617.55,-0.155,1.607,1.065,1.9839,1.811,1.7942,1.5241,43.026,84.808,2,3,2,3,3,3,2,5.7343,26.974,-25.986,190.32,163.61,153.89,129.01,109.53,147.8,98.962,85.656,81.865,91.596,71.845,195.12,625.85,-631.37,4453.8,3813.7,3596.5,3036.7,191.04,375.92,152.26,378.74,378.55,376.1,262.31,4,4,3,4,5,4,5,2
-0.57564,-0.70654,-0.5936,1.2915,1.07,0.99106,1.0235,-22.363,-33.255,0.6172,0.40226,0.44322,0.48768,0.46679,0.47251,0.44885,40.961,37.934,-17.437,-21.471,-17.812,39.143,32.541,29.928,31.008,-657.18,-1006.8,0.52783,-0.23071,0.15796,2.4323,2.2917,2.404,1.9609,70.292,64.574,7,5,6,7,6,5,8,-21.402,16.987,22.379,204.14,182.5,157.13,136.47,121.59,157.12,89.443,73.224,74.543,88.262,66.214,-424.96,249.86,517.48,4861,4324.4,3740.6,3293.4,206.05,413.13,183.16,429.98,427.93,415.25,251.49,5,4,2,7,7,6,5,-0.702,0.47607,0.35467,1.0317,0.88454,0.74123,0.87821,-49.606,43.06,0.19753,0.26257,0.39569,0.1725,0.20122,0.12019,0.17893,18.821,13.445,-9.8535,6.4585,5.0925,14.444,12.305,10.341,12.412,-702.34,597.48,-0.321,0.896,0.663,1.465,1.3607,1.0477,1.2057,-23.983,60.322,4,3,4,4,2,3,4,-2.1138,-36.985,6.8541,62.998,54.319,59.486,31.697,27.274,71.276,34.023,65.835,64.693,63.502,30.191,-8.079,-929.39,162.26,1598.3,1367.4,1516.7,799.21,22.927,49.817,95.183,254.5,243.56,243.01,105.69,6,7,6,7,8,7,8,2
-0.45976,-0.64693,0.18685,0.99296,0.82977,0.84293,0.73094,-23.389,-47.313,0.23713,0.21115,0.52264,0.20518,0.20061,0.2282,0.17831,25.897,18.737,-14.069,-19.577,5.7908,29.97,25.205,25.342,22.012,-722.44,-1403.8,0.22754,-0.35547,0.8623,1.5243,1.2467,1.5073,1.1021,50.31,-5.4613,7,5,7,8,9,6,6,42.191,-70.509,-19.156,129.22,122.01,97.698,88.461,96.27,112.94,41.541,117.27,116.33,100.45,71.192,1080,-1706.3,-484.27,3014.4,2845.4,2313.3,2038.4,253.09,78.735,39.116,407.29,391.43,326.57,280.33,4,5,3,4,4,6,4,-0.6535,0.52425,0.518,1.0312,0.88184,0.7561,0.85022,-42.08,46.616,0.18118,0.23668,0.20731,0.17362,0.078847,0.26053,0.21405,23.018,19.772,-7.3805,5.6065,5.731,11.394,9.7298,8.2319,9.52,-480.97,499.02,-0.276,0.788,1.092,1.5617,1.1165,1.2095,1.4726,-6.8345,72.043,4,1,4,3,4,3,5,1.4534,2.4696,-6.1306,49.48,42.615,42.224,31.527,37.399,62.436,32.131,61.826,58.399,55.82,37.886,-32.679,60.551,-170.88,1111.4,950.82,986.91,682.74,135.18,153.41,40.915,180.52,162.75,172.15,141.24,4,3,5,5,5,5,5,2
-0.40143,-0.70868,0.47566,1.2713,0.96303,1.1015,0.96847,-9.9257,-30.484,0.56208,0.41086,0.67048,0.42725,0.45998,0.34177,0.44267,41.4,45.362,-11.517,-20.695,13.03,36.573,28.074,31.569,27.696,-323.9,-919.75,0.8938,-0.089355,2.0642,2.6882,2.6871,2.1001,2.1878,67.266,74.982,5,6,8,7,7,6,8,-56.663,64.146,7.314,138.14,131.24,104.58,93.357,118.73,151.36,44.403,163.67,163.4,133.53,101.93,-1410.6,1534.1,155.66,3367.4,3199.5,2534.4,2297.6,121.97,499.5,101.62,596.23,591.38,505.23,325.57,4,5,4,6,6,6,5,-0.71208,0.45992,0.34683,1.1235,0.93469,0.75262,0.94154,-47.568,38.02,0.32891,0.44754,0.53652,0.36674,0.37323,0.48186,0.33667,39.397,26.525,-8.251,4.6515,3.3945,12.158,10.244,7.7456,10.476,-554.76,390.32,-0.279,1.569,1.451,1.739,1.5936,1.7164,1.5539,41.371,80.702,2,2,2,3,3,2,3,0.67329,15.661,-18.869,131.28,121.37,99.411,82.794,88.901,102.08,43.954,53.869,56.649,51.657,55.267,58.568,309.79,-519.51,3023.9,2807.6,2285.8,1886.6,215.67,211.95,109.02,229.59,228.91,214.07,216.4,2,4,4,5,5,5,4,2
-0.37841,-0.67323,0.43673,1.0772,0.84605,0.94455,0.79034,-15.08,-44.631,0.316,0.29265,0.50895,0.24164,0.24905,0.29649,0.24112,34.436,31.097,-10.614,-19.481,13.512,31.184,24.342,27.502,22.837,-415.23,-1305.3,0.18384,-0.094238,1.1812,1.6257,1.348,1.6199,1.2569,51.6,49.619,9,6,7,7,7,8,9,30.763,-45.541,-9.9428,142.61,139.42,113.51,86.803,100.32,146.07,37.16,121.71,119.45,107.42,68.359,706.19,-1047.4,-276.62,3137.5,3063.4,2464.5,1960,251.37,247.45,48.095,450.66,441.44,374.04,267.23,5,6,4,4,4,5,5,-0.66258,0.63358,0.23542,1.1038,1.0001,0.84488,0.81516,-35.027,32.783,0.34344,0.52636,0.38642,0.43863,0.46991,0.38215,0.28594,23.871,39.911,-7.3835,6.8135,2.5375,12.16,10.971,9.2893,9.0861,-387.8,342.93,-0.133,1.214,0.928,1.7835,1.7105,1.4096,1.3065,10.712,71.254,2,2,2,3,2,3,3,-2.4774,-6.9739,34.677,159.04,118.01,148.5,99.464,53.964,138.88,93.432,77.268,88.298,80.102,51.217,0.792,-246.1,885.06,4161.3,3096.8,3895.7,2567.5,124.88,427.5,172.5,431.11,430.64,427.98,202.2,5,3,5,6,5,6,6,2
0.093481,-0.50516,0.81961,1.2119,0.82237,1.1158,0.94074,32.628,-28.998,0.51459,0.59475,0.33169,0.42005,0.43754,0.36637,0.40378,31.844,56.124,2.8499,-13.99,23.521,34.275,23.094,31.579,26.713,949.34,-778.51,2.1472,0.7146,1.76,2.5292,2.1521,2.0033,2.525,86.542,88.813,6,6,7,6,6,7,8,13.163,-90.036,1.9351,146.78,121.43,140.69,80.6,59.382,136.72,74.951,117.45,123.99,109.27,49.525,156.06,-1472.6,30.351,2382.1,1930.7,2296.7,1330.2,189.51,82.256,136.51,425.7,423.22,381.19,194.99,3,3,3,3,4,3,3,-0.5,0.71808,0.58192,1.0626,0.87752,0.93441,0.77721,-17.847,59.933,0.11841,0.25521,0.30777,0.38303,0.27268,0.37323,0.30319,25.251,6.2684,-5.3235,7.5385,6.0255,11.144,9.2549,9.7613,8.1364,-228.78,652.9,-0.375,1.446,1.483,2.2284,1.6633,2.0713,1.6956,58.484,75.822,4,2,2,3,3,3,2,7.3501,0.38108,-8.214,25.56,22.844,16.029,21.568,21.202,15.486,8.3948,14.319,14.189,10.618,12.704,188.9,0.457,-182.07,577.92,516.35,353.98,494.94,46.951,34.939,6.585,62.26,58.488,43.284,51.574,6,6,4,6,6,7,5,2
-0.29776,-0.55518,0.50718,1.247,1.0159,1.0799,0.86105,-7.7116,-29.204,0.52968,0.71457,0.57386,0.43285,0.36513,0.46667,0.44748,42.355,50.389,-8.2476,-15.498,13.94,35.087,28.708,30.333,24.094,-218.37,-806.01,1.1724,2.1169,1.8647,2.5006,2.4199,2.2087,1.9151,74.438,88.682,8,7,7,7,6,6,8,2.7152,9.9244,-7.0579,160.41,146.32,144.93,85.347,76.98,151.63,64.787,80.468,82.009,73.909,50.944,48.361,268.89,-218.57,3957.1,3626.9,3576.3,2085.2,176.07,255.5,115.11,290.95,275.11,264.8,204.52,5,5,2,8,7,7,5,-0.58413,0.68747,0.2472,1.0962,0.96078,0.88733,0.77931,-35.412,52.523,0.1914,0.40384,0.47049,0.26658,0.28747,0.33571,0.19585,30.948,18.352,-8.1775,9.6725,3.295,15.479,13.541,12.547,10.974,-494.3,736.24,-0.169,1.625,0.885,1.8255,1.8252,1.6254,1.2855,18.984,78.864,3,3,4,6,5,3,4,-17.073,15.075,-0.2597,130.74,124.89,118.42,55.847,58.839,155.49,41.473,110.21,109.46,107.56,47.391,-472.47,427.38,-6.768,3506.1,3348.3,3176.8,1495.3,85.244,296.58,89.573,371.98,371.67,370.49,169.24,3,6,5,6,5,6,5,2
-0.11306,-0.80696,0.46391,1.2519,1.0423,1.0813,0.86691,-4.1865,-41.22,0.61333,0.48134,0.48223,0.35982,0.41392,0.38909,0.26026,44.93,31.713,-3.5651,-24.222,13.752,37.526,31.241,32.438,25.927,-129.41,-1250.5,1.0842,0.1145,1.748,2.2922,1.8492,2.2786,1.7657,70.883,25.071,8,7,9,8,8,9,10,-6.5126,7.0323,2.809,116.65,113.93,90.055,73.969,80.085,100.25,22.939,53.282,54.417,46.252,35.503,-132.93,113.68,52.553,2472.1,2414.8,1915.6,1559.9,96.509,173.45,36.509,226.15,226.06,173.57,145.13,5,5,4,6,6,6,6,-0.55525,0.65483,0.509,1.0035,0.86416,0.83164,0.75452,-30.659,55.214,0.073458,0.082516,0.047175,0.051718,0.040782,0.07038,0.074363,8.4734,5.2757,-6.0755,7.213,5.5935,11.028,9.4966,9.1545,8.273,-335.03,608.86,-0.439,0.768,0.593,1.0815,0.91916,0.92525,0.92583,-20.864,61.404,4,3,3,4,4,3,3,-3.2444,-1.0442,-1.936,19.206,17.833,15.712,11.87,10.84,17.076,6.5097,9.0866,9.453,9.0222,5.2664,-77.651,-5.123,-43.903,435.51,404.28,355.13,269.14,12.866,46.524,6.341,50.722,50.689,46.56,20.205,4,6,3,4,5,6,4,2
-0.49362,-0.84219,0.21201,1.0555,1.01,0.89868,0.58519,-27.749,-57.199,0.24489,0.31612,0.19655,0.28014,0.30082,0.28879,0.2073,16.576,17.036,-14.736,-25.045,6.2356,31.412,30.087,26.688,17.457,-833.05,-1719.8,-0.041992,-0.3728,0.52612,1.711,1.7039,1.5943,1.085,6.0224,-26.917,6,7,10,8,8,8,9,0.86037,-12.691,-1.1915,125.92,119.89,107.69,69.27,78.134,131.21,31.737,89.338,92.298,79.46,46.002,86.578,-395.79,-4.939,3016.4,2868,2577.6,1661.6,176.51,242.1,45.351,322.51,322.49,269.92,176.55,6,4,4,6,6,5,6,-0.57067,0.57458,0.59892,1.0155,0.81626,0.83266,0.83368,-31.499,53.83,0.092843,0.062379,0.09714,0.061195,0.0329,0.091903,0.08017,13.805,6.1612,-6.404,6.24,6.545,11.159,9.003,9.0694,9.2153,-364.69,583.96,-0.395,0.685,0.771,1.1282,0.86351,1.0059,1.0078,-0.97474,65.846,2,4,4,3,3,2,3,2.3806,2.3806,-9.0396,28.33,25.6,24.032,16.056,13.99,32.082,7.5674,23.278,23.515,23.98,8.6711,76.402,3.9035,-208.11,611.64,547.12,514.64,361.94,22.134,114.21,2.744,118.09,116.31,116.02,30.03,5,4,6,7,6,7,5,2
