acc_mean_x_right,acc_mean_y_right,acc_mean_z_right,acc_mean_xyz_right,acc_mean_xy_right,acc_mean_yz_right,acc_mean_zx_right,acc_mean_pitch_right,acc_mean_roll_right,acc_std_x_right,acc_std_y_right,acc_std_z_right,acc_std_xyz_right,acc_std_xy_right,acc_std_yz_right,acc_std_zx_right,acc_std_pitch_right,acc_std_roll_right,acc_auc_x_right,acc_auc_y_right,acc_auc_z_right,acc_auc_xyz_right,acc_auc_xy_right,acc_auc_yz_right,acc_auc_zx_right,acc_auc_pitch_right,acc_auc_roll_right,acc_max_x_right,acc_max_y_right,acc_max_z_right,acc_max_xyz_right,acc_max_xy_right,acc_max_yz_right,acc_max_zx_right,acc_max_pitch_right,acc_max_roll_right,acc_peak_x_right,acc_peak_y_right,acc_peak_z_right,acc_peak_xyz_right,acc_peak_xy_right,acc_peak_yz_right,acc_peak_zx_right,gyro_mean_x_right,gyro_mean_y_right,gyro_mean_z_right,gyro_mean_xyz_right,gyro_mean_xy_right,gyro_mean_yz_right,gyro_mean_zx_right,gyro_std_x_right,gyro_std_y_right,gyro_std_z_right,gyro_std_xyz_right,gyro_std_xy_right,gyro_std_yz_right,gyro_std_zx_right,gyro_auc_x_right,gyro_auc_y_right,gyro_auc_z_right,gyro_auc_xyz_right,gyro_auc_xy_right,gyro_auc_yz_right,gyro_auc_zx_right,gyro_max_x_right,gyro_max_y_right,gyro_max_z_right,gyro_max_xyz_right,gyro_max_xy_right,gyro_max_yz_right,gyro_max_zx_right,gyro_peak_x_right,gyro_peak_y_right,gyro_peak_z_right,gyro_peak_xyz_right,gyro_peak_xy_right,gyro_peak_yz_right,gyro_peak_zx_right,acc_mean_x_left,acc_mean_y_left,acc_mean_z_left,acc_mean_xyz_left,acc_mean_xy_left,acc_mean_yz_left,acc_mean_zx_left,acc_mean_pitch_left,acc_mean_roll_left,acc_std_x_left,acc_std_y_left,acc_std_z_left,acc_std_xyz_left,acc_std_xy_left,acc_std_yz_left,acc_std_zx_left,acc_std_pitch_left,acc_std_roll_left,acc_auc_x_left,acc_auc_y_left,acc_auc_z_left,acc_auc_xyz_left,acc_auc_xy_left,acc_auc_yz_left,acc_auc_zx_left,acc_auc_pitch_left,acc_auc_roll_left,acc_max_x_left,acc_max_y_left,acc_max_z_left,acc_max_xyz_left,acc_max_xy_left,acc_max_yz_left,acc_max_zx_left,acc_max_pitch_left,acc_max_roll_left,acc_peak_x_left,acc_peak_y_left,acc_peak_z_left,acc_peak_xyz_left,acc_peak_xy_left,acc_peak_yz_left,acc_peak_zx_left,gyro_mean_x_left,gyro_mean_y_left,gyro_mean_z_left,gyro_mean_xyz_left,gyro_mean_xy_left,gyro_mean_yz_left,gyro_mean_zx_left,gyro_std_x_left,gyro_std_y_left,gyro_std_z_left,gyro_std_xyz_left,gyro_std_xy_left,gyro_std_yz_left,gyro_std_zx_left,gyro_auc_x_left,gyro_auc_y_left,gyro_auc_z_left,gyro_auc_xyz_left,gyro_auc_xy_left,gyro_auc_yz_left,gyro_auc_zx_left,gyro_max_x_left,gyro_max_y_left,gyro_max_z_left,gyro_max_xyz_left,gyro_max_xy_left,gyro_max_yz_left,gyro_max_zx_left,gyro_peak_x_left,gyro_peak_y_left,gyro_peak_z_left,gyro_peak_xyz_left,gyro_peak_xy_left,gyro_peak_yz_left,gyro_peak_zx_left,class
0.79427,0.39892,0.16693,1.2704,1.1732,0.60991,1.1663,60.268,32.294,1.0057,0.35931,0.41518,0.69892,0.73029,0.33149,0.67628,35.509,18.157,21.994,11.289,4.8688,35.725,32.935,17.303,32.752,1672.4,918.34,2.2251,1.6262,0.68506,3.7393,3.7383,1.8581,3.6441,84.587,70.193,5,5,5,5,7,5,6,-28.43,-23.313,6.6458,190.7,186.91,169.62,75.236,81.021,214.94,28.844,131.25,133.55,133.12,48.95,-655.83,-631.98,182.87,4864,4769.6,4374.6,1868,261.63,295.95,57.591,504.52,504.41,499.6,264.96,4,3,4,4,4,5,2,0.30701,-0.44553,0.82246,1.0021,0.56061,0.93863,0.89477,53.23,-39.823,0.16773,0.079917,0.091845,0.083382,0.11108,0.092416,0.075739,7.5295,24.506,10.081,-14.667,27.204,33.092,18.458,31.01,29.572,1758,-1313.5,0.64136,-0.32422,1.0715,1.2805,0.8483,1.2681,1.0861,64.318,-2.0054,8,7,9,9,7,9,9,34.06,-104.95,-38.637,145.71,117.72,134.61,68.347,37.055,93.984,52.225,69.972,91.736,74.813,44.227,527.23,-1751.8,-676.19,2403.1,1930,2249,1104.3,101.04,1.2805,28.933,291.68,291.26,277.82,135.3,2,2,2,3,2,3,2,2
0.8123,0.53737,0.33705,1.1227,1.0132,0.7279,0.9484,60.279,40.228,0.28518,0.26927,0.31402,0.22007,0.27121,0.20002,0.2243,14.289,14.413,27.955,18.714,12.007,38.935,35.042,25.474,32.799,2104.8,1416.3,1.5442,1.2034,0.88208,1.7114,1.672,1.3388,1.5867,83.939,71.782,10,6,7,9,10,9,9,-31.767,40.104,-3.109,123.98,112,111.22,60.676,46.66,147.93,37.862,109.9,116.67,109.54,28.421,-605.6,809.13,-88.697,2401.4,2171.7,2185.6,1140.9,31.463,383.63,46.54,398.24,397.41,385.26,109.03,4,4,3,3,3,3,5,0.61594,-0.21671,0.50325,0.99392,0.77652,0.65339,0.90035,62.653,-11.411,0.42847,0.38455,0.33604,0.3485,0.38265,0.35787,0.33174,12.523,33.7,13.375,-4.559,10.418,21.145,16.786,13.686,19.121,1306.6,-231.69,1.3098,0.48145,1.1138,1.3721,1.3519,1.2255,1.3212,88.8,38.978,5,4,5,4,5,3,4,15.417,67.946,47.873,185.9,162.02,137.06,139.48,119.03,121.62,81.516,82.999,80.896,94.841,55.524,300.07,1423.5,933.63,3909.4,3429.6,2860.2,2923,151.94,321.13,170.02,357.49,324.2,354.71,233.42,2,3,3,5,4,5,4,2
0.92354,0.35341,0.32717,1.071,1.0002,0.52341,0.99982,71.25,26.14,0.23208,0.19435,0.18755,0.24968,0.26131,0.17154,0.21898,8.7044,10.795,25.836,9.7909,9.0718,29.926,27.952,14.56,27.958,2000.9,724.21,1.4219,0.69189,0.59888,1.5779,1.5759,0.72757,1.4242,88.095,42.893,7,4,6,6,6,5,6,-8.98,15.655,5.7005,87.734,67.603,72.678,67.08,47.99,59.871,54.824,34.71,37.961,36.708,26.706,-203.64,332.2,85.48,1875.3,1455.5,1544.7,1434.7,73.765,146.39,70.259,176.37,163.92,163.13,134.26,4,5,3,6,6,5,5,0.78941,-0.51608,0.21272,1.0717,0.99276,0.63758,0.91352,59.473,-27.953,0.32039,0.23425,0.37756,0.28266,0.24195,0.31564,0.27216,16.136,18.499,25.872,-17.15,7.105,35.283,32.694,21.063,29.99,1949.8,-941.82,1.3296,-0.14331,0.94946,1.5449,1.405,1.3923,1.4766,79.904,4.0645,8,5,8,7,7,7,7,-40.842,-44.699,-20.957,137.85,113.32,106.52,106.91,88.689,77.1,82.728,72.153,65.528,59.576,71.002,-1122.4,-1304.8,-652.13,3757.7,3104.7,2884.7,2912.6,83.018,115.34,140.96,254.23,249.92,207.73,229.69,4,6,5,5,5,5,4,2
0.85934,0.40048,0.30664,1.0203,0.96378,0.5071,0.92435,65.892,29.95,0.13193,0.14677,0.12372,0.069384,0.0898,0.18447,0.10075,9.0658,12.115,29.994,14.185,10.804,35.69,33.7,17.924,32.285,2297.7,1058.6,1.1987,0.52051,0.4353,1.2035,1.202,0.67182,1.2002,89.916,40.373,6,3,6,6,6,3,6,15.252,-9.5753,3.1773,28.486,25.453,20.784,21.817,19.971,19.335,12.948,21.109,20.908,14.108,18.016,403.01,-266.09,66.037,739.02,658.77,530.27,576.53,60.168,44.146,28.064,72.786,68.16,55.763,63.984,3,4,2,5,6,4,3,0.77533,-0.54836,0.15448,1.0681,1.0147,0.63487,0.8656,57.583,-31.246,0.31677,0.313,0.3275,0.29074,0.2588,0.35299,0.28281,20.121,21.569,28.512,-20.397,5.7947,39.48,37.506,23.575,31.881,2122.1,-1167.3,1.3638,-0.14893,1.0227,1.6362,1.5052,1.5358,1.3717,78.21,-6.1038,8,6,8,7,7,6,9,18.184,8.0704,0.33346,38.057,35.265,27.345,25.238,27.086,25.927,14.26,22.606,22.829,12.783,24.849,388.75,184.45,-1.1128,853.47,792.59,625.51,549.7,91.707,50.168,32.515,101.58,96.237,51.457,97.301,4,6,3,5,6,6,3,2
0.9126,0.57141,0.22208,1.2603,1.2054,0.69578,1.0577,60.902,34.32,0.56519,0.47616,0.30863,0.49911,0.49278,0.45835,0.4125,21.118,17.021,27.422,17.297,6.8083,38.057,36.357,21.145,31.917,1834.3,1027.2,2.1863,2.2742,0.75269,2.5729,2.5038,2.3955,2.223,86.162,85.312,9,4,6,9,9,6,9,7.5827,14.838,22.737,73.281,60.039,67.483,44.534,29.456,67.622,27.94,38.244,44.5,37.202,13.534,170.73,465.55,586.51,1809.8,1476.9,1662.8,1112.6,52.561,109.66,57.576,193.24,187.11,185.95,71.368,5,7,6,8,8,6,8,0.90568,-0.33509,-0.07885,0.99586,0.98437,0.37297,0.9184,70.039,-19.057,0.098457,0.18682,0.13314,0.087924,0.083889,0.1772,0.099574,10.986,11.293,29.901,-10.877,-2.5784,32.796,32.419,12.129,30.32,2321.7,-618.88,1.0881,-0.08667,0.34155,1.1745,1.1237,0.78345,1.0891,84.556,-3.8723,7,6,7,7,7,9,7,5.3832,31.789,23.209,73.93,57.135,68.035,48.511,39.858,59.015,51.802,61.062,52.603,54.559,49.221,94.588,874.52,618.94,2046.5,1578.7,1897.6,1322.7,116.63,154.21,129.74,204.4,157.94,180.16,163.17,7,5,2,6,6,6,4,2
0.97562,0.4071,0.20884,1.1886,1.1236,0.62663,1.0507,64.218,29.995,0.30687,0.37705,0.34476,0.30433,0.29176,0.26409,0.3159,11.908,20.54,22.822,9.1179,4.5491,27.519,26.072,14.237,24.461,1492,667.95,1.8477,0.91699,0.948,1.9412,1.9395,1.0697,1.8494,86.078,60.791,7,4,5,7,6,5,6,16.56,-1.4474,10.404,119.37,112.25,97.637,68.483,64.012,114.91,34.677,62.202,65.512,66.782,27.445,305.14,-47.317,200.29,2221.2,2108.7,1809.8,1259.6,106.95,271.02,73.979,276.37,274.5,272.92,121.56,3,4,3,3,3,4,4,0.54548,-0.75538,0.31486,1.038,0.9787,0.82804,0.66528,40.578,-51.907,0.2444,0.21672,0.14003,0.11438,0.1204,0.22411,0.17927,15.277,18.862,19.747,-27.218,11.436,37.438,35.299,29.851,24.009,1466.8,-1859.9,1.0181,-0.39941,0.48535,1.3736,1.3311,1.3157,1.0207,65.887,-23.87,8,7,9,10,9,9,8,18.369,-8.3716,-21.779,90.718,67.749,86.411,56.968,22.339,75.834,50.998,34.186,43.328,33.384,23.569,407.64,-236.04,-495.3,2026.9,1510.4,1929.9,1276,57.271,145.41,41.052,164.17,149.26,160.68,102.34,3,5,2,4,6,5,2,2
0.78089,0.64582,0.27583,1.2521,1.1623,0.84924,0.9237,51.786,45.228,0.43472,0.49531,0.37825,0.30406,0.31029,0.38789,0.39677,22.43,26.054,17.928,14.925,6.2177,28.924,26.855,19.68,21.232,1182.4,1046.2,1.5967,1.6663,1.0388,1.7969,1.6715,1.6731,1.7643,82.521,85.468,8,5,6,8,7,6,7,46.259,-6.1492,10.815,111.93,109.12,48.258,92.785,89.427,62.408,18.574,37.439,39.868,44.021,40.202,880.16,-102.69,184.03,1944.9,1902.6,848.08,1600.8,189.38,140.55,49.101,189.4,189.4,148.88,189.38,3,4,4,6,6,6,5,0.56946,-0.56949,0.45709,0.98372,0.83046,0.77138,0.76785,51.251,-34.042,0.20174,0.20888,0.20909,0.1213,0.20515,0.15427,0.16257,12.728,22.947,20.223,-19.99,15.822,34.47,29.265,26.872,26.951,1798,-1192.6,0.94043,-0.16895,0.81372,1.2174,1.1532,1.0176,1.0181,69.594,9.3834,9,5,8,9,8,7,9,-1.5264,17.617,-11.584,22.579,18.436,22.05,12.888,4.0782,12.875,8.2635,13.537,12.38,13.764,7.2961,-27.172,233.76,-164.12,305.59,245.6,298.08,180.54,5.2896,45.412,0.92988,49.847,45.557,49.713,25.49,2,3,1,3,3,3,3,2
0.65831,0.3809,0.47322,0.99242,0.78282,0.66888,0.90863,57.899,39.226,0.32191,0.14077,0.29491,0.14454,0.29625,0.15934,0.12583,29.511,12.088,17.339,10.046,12.443,25.874,20.373,17.549,23.66,1573.8,1040.4,1.1509,0.5542,0.96045,1.2575,1.248,1.0165,1.1612,70.256,59.743,7,6,6,7,5,6,7,-55.082,74.953,-3.5183,114.8,111.95,87.329,64.901,33.671,81.638,23.607,60.037,60.947,71.561,21.537,-1054.6,1458.3,-93.407,2186.5,2133.9,1677.5,1224.8,12.53,228.52,44.207,247.51,245.75,230.42,109.43,2,4,3,4,4,4,2,0.33938,-0.16734,0.89418,0.97192,0.3786,0.90987,0.95728,70.484,16.885,0.036478,0.013501,0.036174,0.029019,0.036742,0.034282,0.030105,1.1331,3.8398,6.7968,-3.3304,17.935,19.485,7.5726,18.244,19.196,1412,345.99,0.42603,-0.14917,0.9624,1.0318,0.46087,0.97885,1.0163,72.685,21.972,6,4,6,6,6,6,6,-0.26208,-2.378,-1.1961,12.527,9.9389,11.542,7.2928,4.6304,10.281,7.5485,5.326,5.5105,5.6139,4.9666,-2.8811,-65.739,-27.599,311.55,246.69,286.73,180.45,10.229,17.454,10.716,23.543,21.938,22.764,23.199,7,6,2,6,6,6,3,2
0.26818,0.52932,0.6845,1.168,0.84945,1.0191,0.88581,37.691,55.445,0.50804,0.56805,0.27085,0.2911,0.44014,0.30391,0.27502,41.673,27.386,6.2245,11.536,14.343,24.839,18.338,21.695,18.639,872.09,1179.1,1.168,1.6909,1.1611,1.8592,1.8367,1.7154,1.4608,88.303,89.858,4,4,4,4,4,4,5,8.8672,-13.432,10.524,107.71,103.75,99.333,42.327,34.424,112.44,32.842,54.085,51.21,59.214,23.551,119.81,-366.14,121.46,1561.8,1507.1,1429.3,624.33,44.893,186.37,84.756,204.75,186.39,204.74,84.793,5,4,4,5,5,5,5,0.3658,-0.12189,0.89057,0.97203,0.38691,0.89909,0.96412,75.136,24.067,0.049399,0.021097,0.024552,0.018579,0.04275,0.025364,0.019156,3.0331,4.3466,13.182,-4.3672,32.055,34.991,13.933,32.359,34.709,2707.1,869.55,0.45581,-0.083008,0.92773,1.0081,0.472,0.93827,1.002,79.666,30.041,10,7,9,10,9,9,10,-0.10394,2.324,-1.3352,12.728,7.5151,12.226,9.3954,3.6361,8.5467,10.218,5.3392,5.7245,5.3281,5.2,2.8201,43.194,-14.162,261.11,155.58,250.79,190.56,4.8933,13.11,12.515,24.874,24.783,24.755,18.813,3,6,2,4,4,5,2,2
0.45251,0.64524,0.58592,1.0767,0.88818,0.88331,0.83822,45.024,58.061,0.42059,0.23324,0.13338,0.22033,0.24236,0.22584,0.18899,19.902,15.731,15.985,22.726,20.426,37.765,31.243,30.96,29.336,1571.1,2030.9,1.2417,1.3091,0.89771,1.6112,1.481,1.4758,1.3944,69.288,84.608,9,9,9,8,10,8,8,-4.6353,-45.137,-3.1306,84.314,81.251,71.825,38.962,36.774,74.604,23.671,47.375,46.91,53.803,19.201,-149.25,-1275.8,-110.09,2197,2118.5,1876.7,997.52,73.354,82.149,34.817,226.55,223.16,223.09,80.029,6,8,7,9,9,9,5,0.35754,-0.13108,0.89574,0.97386,0.38154,0.90548,0.9648,74.206,23.323,0.026074,0.020592,0.016615,0.017219,0.022891,0.018034,0.01653,2.3044,2.8856,10.373,-3.8024,25.974,28.242,11.07,26.257,27.979,2152,676,0.41431,-0.075195,0.93652,1.0226,0.43561,0.95049,1.0096,80.944,30.236,8,6,9,7,8,9,7,-6.9678,-54.806,-2.6909,60.003,57.36,58.86,14.05,11.278,69.901,8.7593,67.265,69.026,66.998,7.4739,-147.92,-1227.8,-53.544,1333.5,1279.6,1308.9,303.37,7.8201,5.4573,7.9116,211.49,211.03,210.47,25.874,3,4,1,3,4,3,4,2
