                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     37,                0.51501,                0.29047,                0.94791,                0.99936,                      1,                  0.995,                0.91809,                0.45999,                 0.2545,                0.89921,              0.0005744,              0.0005744,              0.0005744
                     38,                0.51078,                0.28601,                0.94373,                0.99943,                      1,                  0.995,                 0.9173,                0.43936,                0.24824,                 0.8897,              0.0005348,              0.0005348,              0.0005348
                     39,                0.51198,                 0.2869,                0.94583,                0.99941,                      1,                  0.995,                0.93411,                0.42575,                0.23745,                 0.8808,              0.0004952,              0.0004952,              0.0004952
                     40,                0.50489,                 0.2827,                0.94192,                0.99942,                      1,                  0.995,                0.92549,                0.43941,                0.24402,                0.88929,              0.0004556,              0.0004556,              0.0004556
                     41,                 0.4806,                0.27425,                 0.9239,                0.99941,                      1,                  0.995,                0.92085,                0.44477,                0.24612,                0.88835,               0.000416,               0.000416,               0.000416
                     42,                0.46713,                0.26344,                0.92112,                 0.9994,                      1,                  0.995,                0.92023,                0.42652,                0.23624,                0.87927,              0.0003764,              0.0003764,              0.0003764
                     43,                0.46317,                0.25627,                0.91516,                0.99944,                      1,                  0.995,                0.92575,                0.40699,                0.22803,                0.87114,              0.0003368,              0.0003368,              0.0003368
                     44,                0.45851,                 0.2519,                0.91589,                0.99938,                      1,                  0.995,                0.92975,                0.41188,                0.22085,                0.87525,              0.0002972,              0.0002972,              0.0002972
                     45,                0.45002,                0.24729,                0.91487,                0.99939,                      1,                  0.995,                0.92441,                0.41879,                 0.2241,                0.87459,              0.0002576,              0.0002576,              0.0002576
                     46,                0.45096,                0.24612,                0.91502,                0.99938,                      1,                  0.995,                0.93264,                0.42941,                0.22544,                0.88212,               0.000218,               0.000218,               0.000218
                     47,                0.45207,                0.24429,                0.91484,                 0.9994,                      1,                  0.995,                0.92879,                0.41739,                0.22295,                0.87709,              0.0001784,              0.0001784,              0.0001784
                     48,                0.44794,                0.24113,                0.91281,                0.99943,                      1,                  0.995,                0.92864,                 0.4167,                 0.2202,                0.87518,              0.0001388,              0.0001388,              0.0001388
                     49,                 0.4459,                0.23704,                0.91065,                0.99942,                      1,                  0.995,                0.93154,                0.40963,                0.21474,                0.87087,               9.92e-05,               9.92e-05,               9.92e-05
                     50,                0.44434,                0.23664,                0.91206,                0.99943,                      1,                  0.995,                0.92876,                0.41547,                0.21584,                0.87472,               5.96e-05,               5.96e-05,               5.96e-05
