Date,Duplexing Type,Site Id,Sector,Sector id,Carrier Number DL (earfcn),DL Traffic (GB),UL Traffic (GB),Total Traffic (GB),Average User Throughput in DownLink (Mbps),Average DL PDCP Throughput (Mbit/s),Average UL PDCP Throughput (Mbit/s),Intra Frequency Handover Success Rate (%),Inter Frequency Handover Success Rate (%),Cell Availability,Scell Traffic Volume,Number of CSFB to GSM,Number of CSFB to WCDMA,DC_E_ERBS_EUTRANCELLFDD.pmPagDiscarded,Maximum Number of Users in a Cell,PcellVolume_DL_MAC,ScellVolume_DL_MAC,DL Payload(GB),CA capable DL UE Payload(GB),PS E-UTRAN RRC Setup successful Ratio (%),PS E-UTRAN RAB Setup Success Rate (%),DC_E_ERBS_EUTRANCELLFDD.pmCellDowntimeAuto,DC_E_ERBS_EUTRANCELLFDD.pmCellDowntimeMan,IRAT/Session Continuity to 2G,PS Drop Call Rate_NUM,PS Drop Call Rate_DENOM,DL User Throughput(Mbps)_DENOM,DL User Throughput(Mbps)_NUM,Average User Throughput in UpLink (Mbps)_NUM,Average User Throughput in UpLink (Mbps)_DENOM,CSSR RRC_DENOM,CSSR RRC_NUM,CSSR eRAB_NUM,CSSR eRAB DENOM,ERAB Drop Rate_DENOM,ERAB Drop Rate_NUM
2024-05-01,0,0,3,0,0.0,0.5534250871087739,0.5538986925111775,0.5568531851480356,0.0543596373606601,0.6719683220690237,0.5525336605512231,0.9698703026,0.9875403784,1.0,0.2017459747966394,0.1242113193332705,0.0,0.0,0.1129441624365482,0.5432141754694508,0.2017459747966394,0.5534367881583339,0.3293729072173054,0.9997654824,0.9995448339,0.0,0.0,0.1200607902735562,0.0657894736842105,0.2527421116964314,0.0635516352560251,0.4889657518257883,0.2285213690910558,0.0670198607032907,0.1532432994401332,0.1533230746307766,0.1775803464811435,0.1774435847319366,0.2531461971815712,0.0657894736842105
2024-05-01,0,0,4,1,0.0,0.4462538072909378,0.432917166514401,0.4473104589360378,0.046068991139481,0.5782772358017829,0.4302091996763742,0.981265012,0.9928571429,1.0,0.2008042207071284,0.145588096807609,0.0,0.0,0.1002538071065989,0.4262069658974255,0.2008042207071284,0.446250292383745,0.465248183684712,0.9994136718,0.9994183792,0.0,0.0,0.2241641337386018,0.053453947368421,0.1976591993250186,0.063060725476369,0.4111902659159155,0.1892237821346487,0.0906376670646873,0.1488562649368385,0.1488813475722069,0.1528490216638319,0.152750631323329,0.197767162431071,0.053453947368421
2024-05-01,0,0,5,2,0.0,0.4887629349354463,0.5241846501501005,0.4961474919210581,0.0307379833651503,0.5755861493302717,0.553862899650697,0.9910871976,0.9974958264,1.0,0.134880948580613,0.0879555513701855,0.0,0.0,0.0901015228426395,0.4749011583944461,0.134880948580613,0.4887801166861403,0.3349102468324146,0.9983419072,0.998950021,0.0,0.0,0.0281155015197568,0.0740131578947368,0.1714063192964617,0.1073781018063577,0.4671606499739424,0.1859257907025785,0.0611347710843729,0.1207576811609084,0.1206485075642945,0.1410480690698057,0.1410233630014915,0.1716839542588204,0.0740131578947368
2024-05-01,0,0,3,0,1.0,0.358600460721345,0.3183384105833,0.3557719986287356,0.063660123302336,0.5151302503137208,0.3238103094593634,0.9822788518,0.9852050892,1.0,0.2188957556008617,0.3586966757698465,0.0,0.0,0.131979695431472,0.34804653093208,0.2188957556008617,0.3584087599717208,0.6012601072562441,0.9996735721,0.9995623099,0.0,0.0,0.3533434650455927,0.1570723684210526,0.621658896448776,0.0333272943044091,0.3002912601345673,0.1530301026725056,0.0861556551504559,0.6448452986340895,0.6451216786594153,0.7079169890050057,0.7073594262361285,0.6224617603522223,0.1570723684210526
2024-05-01,0,0,4,1,1.0,0.3208869292834841,0.2702996203138775,0.3165436542668042,0.0604349658383438,0.5260398272458596,0.3121550216331576,0.9789975766,0.979498394,1.0,0.3326884101708914,0.3276203032300593,0.0,0.0,0.1205583756345177,0.3093689312351725,0.3326884101708914,0.3207696912928948,0.3498525671539053,0.9997501249,0.9994629098,0.0,0.0,0.46580547112462,0.1332236842105263,0.4993347539671379,0.0336459794700909,0.2878038616788529,0.1160139674508065,0.0673421110536552,0.5239335963671555,0.5241982926710219,0.5216678751546551,0.521308844987912,0.499530984823428,0.1332236842105263
2024-05-01,0,0,5,2,1.0,0.423530499469718,0.4571516316133626,0.4302938092771525,0.0433538843672791,0.5632451303327028,0.5253249730189742,0.9902183406,0.9946312964,1.0,0.2447226015235129,0.2116018457481872,0.0,0.0,0.1205583756345177,0.417840257978809,0.2447226015235129,0.4234754270628383,0.3032341456317923,0.9997208766,0.9996963071,0.0,0.0,0.0934650455927051,0.0707236842105263,0.4609776412430906,0.0626607538943635,0.3845021664012373,0.1413208067614233,0.0421788741939844,0.4138521448722523,0.4140491133244104,0.4880197958419028,0.4875700647745812,0.4619528382195859,0.0707236842105263
2024-05-01,0,2,6,0,0.0,0.3151797753013577,0.2859207267152064,0.3134565570724294,0.0143016844887319,0.3591928751721141,0.2560039153905026,0.9805413888,0.9980119284,1.0,0.0411337329076137,0.1454939259817308,0.0,0.0,0.0901015228426395,0.2938577577508547,0.0411337329076137,0.3151674365550868,0.2210890771531598,0.9990183611,0.9981374991,0.0,0.0,0.0767477203647416,0.084703947368421,0.1584691769338107,0.1707075779137791,0.345553386578985,0.1772707780848025,0.1863803435890716,0.1150614672563963,0.1150353360067615,0.1155646963370684,0.1156385115307369,0.1586599721301964,0.084703947368421
2024-05-01,0,2,7,1,0.0,0.2530740022388438,0.2423227718414587,0.2532764267264561,0.0283387310320861,0.3721540549982655,0.3146709587226791,0.9793451523,0.9916149068,1.0,0.1042354197117689,0.0439777756850927,0.0,0.0,0.0672588832487309,0.2355844733665227,0.1042354197117689,0.253070954359729,0.237680559348655,0.9983409778,0.9988012287,0.0,0.0,0.0509118541033434,0.0444078947368421,0.0971881185976829,0.0655740187747041,0.2630191441787131,0.1063306362150748,0.0495118884600908,0.0789127136721968,0.07884129752892,0.0718677473873747,0.0718658633110956,0.0973165825331157,0.0444078947368421
2024-05-01,0,2,8,2,0.0,0.2989974437015276,0.2862883747808197,0.2992357425785244,0.0226691621705768,0.3838040777375928,0.2958144999214557,0.9716499544,0.9974019226,1.0,0.0708674391084817,0.0855071098973538,0.0,0.0,0.065989847715736,0.2839143329212332,0.0708674391084817,0.2989814175373557,0.224399115719473,0.9986757846,0.9987210555,0.0,0.0,0.175531914893617,0.0962171052631579,0.1563247049660886,0.098155176647595,0.3149371105908675,0.1404739956547721,0.0914747210566311,0.1298808646744892,0.1298068401055327,0.119979945388922,0.1199864312597929,0.1564152058515743,0.0962171052631579
2024-05-01,0,2,6,0,0.0,0.0626533341547595,0.0703513946221473,0.0639929594514137,0.0341241874672756,0.2506322893261254,0.3176998743436908,0.9929381554,1.0,1.0,0.0193098457209769,0.0289104435445898,0.0,0.0,0.0253807106598984,0.0615413804689557,0.0193098457209769,0.0626476177799394,0.0392342825979271,0.9993624143,0.9997415019,0.0,0.0,0.0372340425531914,0.0082236842105263,0.0431869070927125,0.013178130187435,0.0636489543366982,0.0251111990279476,0.0064776762397056,0.0483138539417851,0.0483195166250067,0.041699574378617,0.0416592630881806,0.0432415726377088,0.0082236842105263
